iter	Logloss
0	0.5617955197
1	0.4558387159
2	0.3726842002
3	0.3064047005
4	0.2495627855
5	0.2064878341
6	0.1718447889
7	0.1440659577
8	0.1225325298
9	0.1044294567
10	0.08908358377
11	0.07777622155
12	0.06767523385
13	0.05943721689
14	0.05207442954
15	0.04692837241
16	0.04262885132
17	0.03907233004
18	0.0353472683
19	0.03264158073
20	0.03047710682
21	0.02849779405
22	0.02666274196
23	0.02499765174
24	0.02387252758
25	0.02266777055
26	0.02153850112
27	0.02055096423
28	0.01957573413
29	0.01886692062
30	0.0181431876
31	0.01755285613
32	0.01696552258
33	0.01650908283
34	0.01611469546
35	0.01564515715
36	0.01529983852
37	0.015027807
38	0.01463940105
39	0.01440490541
40	0.01409094952
41	0.01387866266
42	0.01364845832
43	0.01326570235
44	0.01298501812
45	0.01268547593
46	0.01263010119
47	0.01244185442
48	0.01218428352
49	0.01197820843
50	0.0118993323
51	0.01167395749
52	0.01154421346
53	0.01131094506
54	0.01112111523
55	0.01094013188
56	0.01093034234
57	0.01078433884
58	0.01064123751
59	0.01054919843
60	0.01044287372
61	0.01028478722
62	0.01013148174
63	0.01000520184
64	0.009869437116
65	0.009731009438
66	0.00961380424
67	0.009477627817
68	0.009401731687
69	0.009278295239
70	0.009151996637
71	0.009028599602
72	0.008930324265
73	0.008763904503
74	0.008653526091
75	0.00855965486
76	0.008446702942
77	0.008349585117
78	0.008178615643
79	0.008110594982
